DRUG,CYP****,RELATION,SPECIES,DATABASE,REFERENCES,OTHER INTERACTIONS,DRUG INFO
Bupivacaine , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Buprenorphine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Capsaicin , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Capsaicin , 2C19,substrate ,,SuperCYP,show reference,show interactions,show drug info
Carbamazepine , 2C19,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Carbamazepine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Carbamazepine , 2C19,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Carbinoxamine , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Carisoprodol , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Carisoprodol , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Chinin , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Chinin , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Chinin , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Chloramphenicol , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Chloramphenicol , 2C19,substrate ,,SuperCYP,show reference,show interactions,show drug info
Chloramphenicol , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Chlormadinone , 2C19,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
Chloroform , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Chlorpropamide , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Chlorpropamide , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Ciclosporin , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Cimetidine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Cimetidine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Cisapride , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Citalopram , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Citalopram , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Citalopram , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Citalopram , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Clarithromycin , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Clarithromycin , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Clobazam , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Clobazam , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Clomethiazole , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Clomipramine , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Clomipramine , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Clopidogrel , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Clotiazepam , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Clotrimazole , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Clozapine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Clozapine , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Clozapine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Colecalciferol , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Cyclophosphamide , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Cyclophosphamide , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Dapsone , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Dapsone , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Delavirdine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Delavirdine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Delavirdine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Desipramine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Desipramine , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Desloratadine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Desogestrel , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Desogestrel , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Dexamethason , 2C19,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Dexamethasone , 2C19,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Dexfenfluramine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Dextromethorphan , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Dextromethorphan , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Diazepam , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Diazepam , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Diazepam , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Diazepam , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Diclofenac , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Diclofenac , 2C19,substrate ,,SuperCYP,show reference,show interactions,show drug info
Diethyltoluamide , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Diiodohydroxypropane , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Dimethyl sulfoxide , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Dopamine , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Doxazosin , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Doxepin , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Doxepin , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Dronabinol , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Efavirenz , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Efavirenz , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Efavirenz , 2C19,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
Entacapone , 2C19,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
Escitalopram , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Esomeprazole , 2C19,substrate ,,SuperCYP,show reference,show interactions,show drug info
Esomeprazole , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Estradiol , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Ethanol , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Ethinylestradiol , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Ethinylestradiol , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Ethinylestradiol , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Ethotoin , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Ethotoin , 2C19,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
Etizolam , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Etoricoxib , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Famotidine , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Felbamate , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Felbamate , 2C19,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
Felbamate , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Fenofibrate , 2C19,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
Fluconazole , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Fluconazole , 2C19,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
Fluconazole , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Flunitrazepam , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Flunitrazepam , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Fluoxetine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Fluoxetine , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Fluoxetine , 2C19,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
Fluoxetine , 2C19,substrate ,,SuperCYP,show reference,show interactions,show drug info
Fluoxetine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Fluoxetine , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Flutamide , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Fluvoxamine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Fluvoxamine , 2C19,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
Fluvoxamine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Fluvoxamine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Formoterol , 2C19,substrate ,,SuperCYP,show reference,show interactions,show drug info
Fosamprenavir , 2C19,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
Fosphenytoin , 2C19,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
Fosphenytoin , 2C19,substrate ,,SuperCYP,show reference,show interactions,show drug info
Gefitinib , 2C19,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
Gemfibrozil , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Glibenclamide , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Glibenclamide , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Gliclazide , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Glipizide , 2C19,substrate ,,SuperCYP,show reference,show interactions,show drug info
Glucosamine , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Haloperidol , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Hexobarbital , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Ibuprofen , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Ibuprofen , 2C19,substrate ,,SuperCYP,show reference,show interactions,show drug info
Ifosfamide , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Ifosfamide , 2C19,substrate ,,SuperCYP,show reference,show interactions,show drug info
Imatinib , 2C19,substrate ,,SuperCYP,show reference,show interactions,show drug info
Imipramine , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Imipramine , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Imipramine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Indinavir , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Indinavir , 2C19,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
Indometacin , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Indometacin , 2C19,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
Indometacin , 2C19,substrate ,,SuperCYP,show reference,show interactions,show drug info
Ipriflavone , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Isoniazid , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Isoniazid , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Isopropanol , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Ketobemidone , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Ketoconazole , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Ketoconazole , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Lafutidine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Lansoprazole , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Lansoprazole , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Lansoprazole , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Lansoprazole , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Lopinavir , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Loratadine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Loratadine , 2C19,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Losartan , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Losartan , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Lumiracoxib , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Lynestrenol , 2C19,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Lynestrenol , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Medazepam , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Medrysone , 2C19,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
Melatonin , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Melatonin , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Memantine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Memantine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Mephenytoin , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Mephenytoin , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Mephenytoin , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Meprobamate , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Mesuximide , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Mesuximide , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Methadone , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Methazolamide , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Methylphenobarbital , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Methylphenobarbital , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Methylphenobarbital , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Metoprolol , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Miconazole , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Miconazole , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Moclobemide , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Moclobemide , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Moclobemide , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Moclobemide , 2C19,substrate ,,SuperCYP,show reference,show interactions,show drug info
Modafinil , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Modafinil , 2C19,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Modafinil , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Nelfinavir , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Nelfinavir , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Nelfinavir , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Nicardipine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Nicardipine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Nicotine , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Nilutamide , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Nilutamide , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Nilutamide , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Nilutamide , 2C19,substrate ,,SuperCYP,show reference,show interactions,show drug info
Nilvadipine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Nordazepam , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Nordazepam , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Norethisterone , 2C19,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Nortriptyline , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Noscapine , 2C19,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
Olanzapine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Omeprazole , 2C19,inducer ,,SuperCYP,show reference,show interactions,show drug info
Omeprazole , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Omeprazole , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Omeprazole , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Omeprazole , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Omeprazole , 2C19,substrate ,,SuperCYP,show reference,show interactions,show drug info
Omeprazole , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Orphenadrine (chloride) , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Orphenadrine (citrate) , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Oxcarbazepine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Oxcarbazepine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Oxcarbazepine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Pantoprazole , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Pantoprazole , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Pantoprazole , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Paroxetine , 2C19,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
Pentobarbital , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Perazine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Perazine , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Perphenazine , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Perphenazine , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Pethidine , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Pethidine , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Phenacetin , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Phenazone , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Phenazone , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Phenelzine , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Phenelzine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Phenobarbital , 2C19,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Phenobarbital , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Phenobarbital , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Phenobarbital , 2C19,substrate ,,SuperCYP,show reference,show interactions,show drug info
Phensuximide , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Phenytoin , 2C19,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Phenytoin , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Phenytoin , 2C19,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Phenytoin , 2C19,substrate ,,SuperCYP,show reference,show interactions,show drug info
Pimozide , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Pioglitazone , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Podophyllotoxin , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Praziquantel , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Prednisone , 2C19,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Prednisone , 2C19,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Primidone , 2C19,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Primidone , 2C19,substrate ,,SuperCYP,show reference,show interactions,show drug info
Probenecid , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Progesterone , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Progesterone , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Progesterone , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Proguanil , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Proguanil , 2C19,substrate ,,SuperCYP,show reference,show interactions,show drug info
Proguanil , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Promazine , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Promazine , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Propofol , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Propofol , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Propranolol , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Propranolol , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Quazepam , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Quetiapine , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Quinine , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Quinine , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Quinine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Rabeprazole , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Rabeprazole , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Rabeprazole , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Rabeprazole , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Ranitidine , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Ranitidine , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Retinol (vit A) , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Retinol (vit A) , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Rifampicin , 2C19,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Rifampicin , 2C19,substrate ,,SuperCYP,show reference,show interactions,show drug info
Rifampicin , 2C19,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Ritonavir , 2C19,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Ritonavir , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Ritonavir , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Ritonavir , 2C19,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Rosiglitazone , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Saquinavir , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Saquinavir , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Selegiline , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Selegiline , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Seratrodast , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Seratrodast , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Sertraline , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Sertraline , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Sertraline , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Sildenafil , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Sildenafil , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Sulconazole , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Sulconazole , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Sulfanilamide , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Tamoxifen , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Telmisartan , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Temazepam , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Temazepam , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Teniposide , 2C19,substrate ,,SuperCYP,show reference,show interactions,show drug info
Terbinafine , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Terbinafine , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Testosterone , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Testosterone , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Tetrabenazine , 2C19,inducer ,rat ,SuperCYP,show reference,show interactions,show drug info
Thalidomide , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Thalidomide , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Thiamazole , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Thiamazole , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Thioridazine , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Ticlopidine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Ticlopidine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Ticlopidine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Timolol , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Tioconazole , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Tioconazole , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Tolbutamide , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Tolbutamide , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Tolperisone , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Tolperisone , 2C19,substrate ,,SuperCYP,show reference,show interactions,show drug info
Tolterodine , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Tolterodine , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Topiramate , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Topiramate , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Topiramate , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Torasemide , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Trabectedin , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Trabectedin , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Tranylcypromine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Tranylcypromine , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Trimethadione , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Trimipramine , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Troglitazone , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Troglitazone , 2C19,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Troleandomycin , 2C19,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
