Drug,CYP***,Action,Species,Database,refence_1,reference_2,reference_3,Strength
Paroxetine hydrochloride (USP), 2D6, inhibitor, Not Specified, KEGG, , , , Strong
Paroxetine mesylate (USAN), 2D6, inhibitor, Not Specified, KEGG, , , , Strong
Pazopanib hydrochloride (JAN/USAN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Perphenazine (JP17/USP/INN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Perphenazine maleate (JP17), 2D6, inhibitor, Not Specified, KEGG, , , , 
Perphenazine fendizoate (JAN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Perphenazine hydrochloride, 2D6, inhibitor, Not Specified, KEGG, , , , 
Perphenazine decanoate, 2D6, inhibitor, Not Specified, KEGG, , , , 
Perphenazine enantate, 2D6, inhibitor, Not Specified, KEGG, , , , 
Propafenone (INN), 2D6, inhibitor, Not Specified, KEGG, , , , Weak
Propafenone hydrochloride (JP17/USP), 2D6, inhibitor, Not Specified, KEGG, , , , Weak
Quinidine (BAN), 2D6, inhibitor, Not Specified, KEGG, , , , Strong
Quinidine gluconate (USP), 2D6, inhibitor, Not Specified, KEGG, , , , Strong
Quinidine polygalacturonate, 2D6, inhibitor, Not Specified, KEGG, , , , Strong
Quinidine sulfate (USP), 2D6, inhibitor, Not Specified, KEGG, , , , Strong
Quinidine phenylethylbarbiturate, 2D6, inhibitor, Not Specified, KEGG, , , , Strong
Ranitidine (USAN/INN), 2D6, inhibitor, Not Specified, KEGG, , , , Weak
Ranitidine hydrochloride (JP17/USP), 2D6, inhibitor, Not Specified, KEGG, , , , Weak
Ranitidine bismuth citrate (USAN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Ritonavir (JAN/USAN/INN), 2D6, inhibitor, Not Specified, KEGG, , , , Weak
Sertraline (INN), 2D6, inhibitor, Not Specified, KEGG, , , , Weak
Sertraline hydrochloride (JAN/USAN), 2D6, inhibitor, Not Specified, KEGG, , , , Weak
Stiripentol (JAN/USAN/INN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Telithromycin (JAN/USAN/INN), 2D6, inhibitor, Not Specified, KEGG, , , , Weak
Terbinafine (USAN/INN), 2D6, inhibitor, Not Specified, KEGG, , , , Moderate
Terbinafine hydrochloride (JP17/USP), 2D6, inhibitor, Not Specified, KEGG, , , , Moderate
Thioridazine (USP/INN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Thioridazine hydrochloride (JP17/USP), 2D6, inhibitor, Not Specified, KEGG, , , , 
Tripelennamine (INN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Tripelennamine hydrochloride (USP), 2D6, inhibitor, Not Specified, KEGG, , , , 
Tripelennamine citrate, 2D6, inhibitor, Not Specified, KEGG, , , , 
Vemurafenib (JAN/USAN/INN), 2D6, inhibitor, Not Specified, KEGG, , , , Weak
Venlafaxine (INN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Venlafaxine hydrochloride (JAN/USAN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Verapamil (USAN/INN), 2D6, inhibitor, Not Specified, KEGG, , , , Weak
Verapamil hydrochloride (JP17/USP), 2D6, inhibitor, Not Specified, KEGG, , , , Weak
Amiodarone (USAN/INN), 3A4, inhibitor, Not Specified, KEGG, , , , 
Amiodarone hydrochloride (JP17/USAN), 3A4, inhibitor, Not Specified, KEGG, , , , 
Anastrozole (JAN/USAN/INN), 3A4, inhibitor, Not Specified, KEGG, , , , 
Aprepitant (JAN/USAN/INN), 3A4, inhibitor, Not Specified, KEGG, , , , 
Fosaprepitant dimeglumine (USAN), 3A4, inhibitor, Not Specified, KEGG, , , , 
Chloramphenicol (JP17/USP/INN), 3A4, inhibitor, Not Specified, KEGG, , , , 
Chloramphenicol palmitate (JP17/USP), 3A4, inhibitor, Not Specified, KEGG, , , , 
Chloramphenicol sodium succinate (JP17/USP), 3A4, inhibitor, Not Specified, KEGG, , , , 
Chloramphenicol stearate, 3A4, inhibitor, Not Specified, KEGG, , , , 
Chloramphenicol succinate, 3A4, inhibitor, Not Specified, KEGG, , , , 
Cyclosporine (USP), 3A4, inhibitor, Not Specified, KEGG, , , , 
Cimetidine (JP17/USP/INN), 3A4, inhibitor, Not Specified, KEGG, , , , 
Cimetidine hydrochloride (USP), 3A4, inhibitor, Not Specified, KEGG, , , , 
Ciprofloxacin (JP17/USP/INN), 3A4, inhibitor, Not Specified, KEGG, , , , 
Ciprofloxacin hydrochloride (USP), 3A4, inhibitor, Not Specified, KEGG, , , , 
Ciprofloxacin lactate, 3A4, inhibitor, Not Specified, KEGG, , , , 
Dabrafenib mesylate (USAN), 3A4, inhibitor, Not Specified, KEGG, , , , 
Darunavir (USAN/INN), 3A4, inhibitor, Not Specified, KEGG, , , , 
Darunavir ethanolate (JAN), 3A4, inhibitor, Not Specified, KEGG, , , , 
Deferasirox (JAN/USAN/INN), 3A4, inhibitor, Not Specified, KEGG, , , , 
Diltiazem (INN), 3A4, inhibitor, Not Specified, KEGG, , , , 
Diltiazem hydrochloride (JP17/USP), 3A4, inhibitor, Not Specified, KEGG, , , , 
Diltiazem malate (USAN), 3A4, inhibitor, Not Specified, KEGG, , , , 
Gestodene (USAN/INN), 3A4, inhibitor, Not Specified, KEGG, , , , 
Erythromycin (JP17/USP/INN), 3A4, inhibitor, Not Specified, KEGG, , , , 
Erythromycin estolate (USP), 3A4, inhibitor, Not Specified, KEGG, , , , 
Erythromycin ethylsuccinate (JP17/USP), 3A4, inhibitor, Not Specified, KEGG, , , , 
Erythromycin lactobionate (JP17/USP), 3A4, inhibitor, Not Specified, KEGG, , , , 
Erythromycin stearate (JP17/USP), 3A4, inhibitor, Not Specified, KEGG, , , , 
Erythromycin acistrate (USAN), 3A4, inhibitor, Not Specified, KEGG, , , , 
Erythromycin gluceptate (USP), 3A4, inhibitor, Not Specified, KEGG, , , , 
Erythromycin propionate (USAN), 3A4, inhibitor, Not Specified, KEGG, , , , 
Erythromycin salnacedin (USAN), 3A4, inhibitor, Not Specified, KEGG, , , , 
Erythromycin thiocyanate, 3A4, inhibitor, Not Specified, KEGG, , , , 
Erythromycin stinoprate (INN), 3A4, inhibitor, Not Specified, KEGG, , , , 
Ethinyl estradiol (USP), 3A4, inhibitor, Not Specified, KEGG, , , , 
Itraconazole (JP17/USAN), 3A4, inhibitor, Not Specified, KEGG, , , , 
Josamycin (JP17/USAN/INN), 3A4, inhibitor, Not Specified, KEGG, , , , 
Josamycin propionate (JP17), 3A4, inhibitor, Not Specified, KEGG, , , , 
Miconazole (JP17/USP/INN), 3A4, inhibitor, Not Specified, KEGG, , , , 
Miconazole nitrate (JP17/USP), 3A4, inhibitor, Not Specified, KEGG, , , , 
Mifepristone (JAN/USAN/INN), 3A4, inhibitor, Not Specified, KEGG, , , , 
Midecamycin (JP17/INN), 3A4, inhibitor, Not Specified, KEGG, , , , 
Midecamycin acetate (JP17), 3A4, inhibitor, Not Specified, KEGG, , , , 
Norfloxacin (JP17/USP/INN), 3A4, inhibitor, Not Specified, KEGG, , , , 
Saquinavir (JAN/USP/INN), 3A4, inhibitor, Not Specified, KEGG, , , , 
Saquinavir mesylate (USP), 3A4, inhibitor, Not Specified, KEGG, , , , 
Stiripentol (JAN/USAN/INN), 3A4, inhibitor, Not Specified, KEGG, , , , 
Troleandomycin (USP/INN), 3A4, inhibitor, Not Specified, KEGG, , , , 
Verapamil (USAN/INN), 3A4, inhibitor, Not Specified, KEGG, , , , 
Verapamil hydrochloride (JP17/USP), 3A4, inhibitor, Not Specified, KEGG, , , , 
Aprepitant (JAN/USAN/INN), 3A5, inhibitor, Not Specified, KEGG, , , , 
Fosaprepitant dimeglumine (USAN), 3A5, inhibitor, Not Specified, KEGG, , , , 
Chloramphenicol (JP17/USP/INN), 3A5, inhibitor, Not Specified, KEGG, , , , 
Chloramphenicol palmitate (JP17/USP), 3A5, inhibitor, Not Specified, KEGG, , , , 
Chloramphenicol sodium succinate (JP17/USP), 3A5, inhibitor, Not Specified, KEGG, , , , 
Chloramphenicol stearate, 3A5, inhibitor, Not Specified, KEGG, , , , 
Chloramphenicol succinate, 3A5, inhibitor, Not Specified, KEGG, , , , 
Cimetidine (JP17/USP/INN), 3A5, inhibitor, Not Specified, KEGG, , , , 
Cimetidine hydrochloride (USP), 3A5, inhibitor, Not Specified, KEGG, , , , 
Ciprofloxacin (JP17/USP/INN), 3A5, inhibitor, Not Specified, KEGG, , , , 
Ciprofloxacin hydrochloride (USP), 3A5, inhibitor, Not Specified, KEGG, , , , 
Ciprofloxacin lactate, 3A5, inhibitor, Not Specified, KEGG, , , , 
Diltiazem (INN), 3A5, inhibitor, Not Specified, KEGG, , , , 
Diltiazem hydrochloride (JP17/USP), 3A5, inhibitor, Not Specified, KEGG, , , , 
Diltiazem malate (USAN), 3A5, inhibitor, Not Specified, KEGG, , , , 
Itraconazole (JP17/USAN), 3A5, inhibitor, Not Specified, KEGG, , , , 
Mifepristone (JAN/USAN/INN), 3A5, inhibitor, Not Specified, KEGG, , , , 
Norfloxacin (JP17/USP/INN), 3A5, inhibitor, Not Specified, KEGG, , , , 
Saquinavir (JAN/USP/INN), 3A5, inhibitor, Not Specified, KEGG, , , , 
Saquinavir mesylate (USP), 3A5, inhibitor, Not Specified, KEGG, , , , 
Verapamil (USAN/INN), 3A5, inhibitor, Not Specified, KEGG, , , , 
Verapamil hydrochloride (JP17/USP), 3A5, inhibitor, Not Specified, KEGG, , , , 
Aprepitant (JAN/USAN/INN), 3A7, inhibitor, Not Specified, KEGG, , , , 
Fosaprepitant dimeglumine (USAN), 3A7, inhibitor, Not Specified, KEGG, , , , 
Chloramphenicol (JP17/USP/INN), 3A7, inhibitor, Not Specified, KEGG, , , , 
Chloramphenicol palmitate (JP17/USP), 3A7, inhibitor, Not Specified, KEGG, , , , 
Chloramphenicol sodium succinate (JP17/USP), 3A7, inhibitor, Not Specified, KEGG, , , , 
Chloramphenicol stearate, 3A7, inhibitor, Not Specified, KEGG, , , , 
Chloramphenicol succinate, 3A7, inhibitor, Not Specified, KEGG, , , , 
Cimetidine (JP17/USP/INN), 3A7, inhibitor, Not Specified, KEGG, , , , 
Cimetidine hydrochloride (USP), 3A7, inhibitor, Not Specified, KEGG, , , , 
Ciprofloxacin (JP17/USP/INN), 3A7, inhibitor, Not Specified, KEGG, , , , 
Ciprofloxacin hydrochloride (USP), 3A7, inhibitor, Not Specified, KEGG, , , , 
Ciprofloxacin lactate, 3A7, inhibitor, Not Specified, KEGG, , , , 
Diltiazem (INN), 3A7, inhibitor, Not Specified, KEGG, , , , 
Diltiazem hydrochloride (JP17/USP), 3A7, inhibitor, Not Specified, KEGG, , , , 
Diltiazem malate (USAN), 3A7, inhibitor, Not Specified, KEGG, , , , 
Erythromycin (JP17/USP/INN), 3A7, inhibitor, Not Specified, KEGG, , , , 
Erythromycin estolate (USP), 3A7, inhibitor, Not Specified, KEGG, , , , 
Erythromycin ethylsuccinate (JP17/USP), 3A7, inhibitor, Not Specified, KEGG, , , , 
Erythromycin lactobionate (JP17/USP), 3A7, inhibitor, Not Specified, KEGG, , , , 
Erythromycin stearate (JP17/USP), 3A7, inhibitor, Not Specified, KEGG, , , , 
Erythromycin acistrate (USAN), 3A7, inhibitor, Not Specified, KEGG, , , , 
Erythromycin gluceptate (USP), 3A7, inhibitor, Not Specified, KEGG, , , , 
Erythromycin propionate (USAN), 3A7, inhibitor, Not Specified, KEGG, , , , 
Erythromycin salnacedin (USAN), 3A7, inhibitor, Not Specified, KEGG, , , , 
Erythromycin thiocyanate, 3A7, inhibitor, Not Specified, KEGG, , , , 
Erythromycin stinoprate (INN), 3A7, inhibitor, Not Specified, KEGG, , , , 
Itraconazole (JP17/USAN), 3A7, inhibitor, Not Specified, KEGG, , , , 
Mifepristone (JAN/USAN/INN), 3A7, inhibitor, Not Specified, KEGG, , , , 
Norfloxacin (JP17/USP/INN), 3A7, inhibitor, Not Specified, KEGG, , , , 
Saquinavir (JAN/USP/INN), 3A7, inhibitor, Not Specified, KEGG, , , , 
Saquinavir mesylate (USP), 3A7, inhibitor, Not Specified, KEGG, , , , 
Verapamil (USAN/INN), 3A7, inhibitor, Not Specified, KEGG, , , , 
Verapamil hydrochloride (JP17/USP), 3A7, inhibitor, Not Specified, KEGG, , , , 
Almorexant (INN), 3A, inhibitor, Not Specified, KEGG, , , , 
Alprazolam (JP17/USP/INN), 3A, inhibitor, Not Specified, KEGG, , , , Weak
Amlodipine (USAN/INN), 3A, inhibitor, Not Specified, KEGG, , , , Weak
Amlodipine besylate (USAN), 3A, inhibitor, Not Specified, KEGG, , , , Weak
Amlodipine maleate (USAN), 3A, inhibitor, Not Specified, KEGG, , , , Weak
Amiodarone (USAN/INN), 3A, inhibitor, Not Specified, KEGG, , , , Weak
Amiodarone hydrochloride (JP17/USAN), 3A, inhibitor, Not Specified, KEGG, , , , Weak
Amprenavir (JAN/USAN/INN), 3A, inhibitor, Not Specified, KEGG, , , , Moderate
Aprepitant (JAN/USAN/INN), 3A, inhibitor, Not Specified, KEGG, , , , Moderate
Atazanavir (INN), 3A, inhibitor, Not Specified, KEGG, , , , Moderate
Atazanavir sulfate (JAN/USAN), 3A, inhibitor, Not Specified, KEGG, , , , Moderate
Atorvastatin (INN), 3A, inhibitor, Not Specified, KEGG, , , , Weak
Atorvastatin calcium anhydorous, 3A, inhibitor, Not Specified, KEGG, , , , Weak
Atorvastatin calcium (USP), 3A, inhibitor, Not Specified, KEGG, , , , Weak
Azithromycin (INN), 3A, inhibitor, Not Specified, KEGG, , , , 
Azithromycin hydrate (JP17), 3A, inhibitor, Not Specified, KEGG, , , , 
Azithromycin (USP), 3A, inhibitor, Not Specified, KEGG, , , , 
Berberine, 3A, inhibitor, Not Specified, KEGG, , , , 
Berberine chloride hydrate (JP17), 3A, inhibitor, Not Specified, KEGG, , , , 
Berberine tannate (JP17), 3A, inhibitor, Not Specified, KEGG, , , , 
Berberine sulfate hydrate (JAN), 3A, inhibitor, Not Specified, KEGG, , , , 
Bicalutamide (JAN/USP/INN), 3A, inhibitor, Not Specified, KEGG, , , , Weak
Boceprevir (INN/USAN), 3A, inhibitor, Not Specified, KEGG, , , , Strong
Casopitant mesylate (USAN), 3A, inhibitor, Not Specified, KEGG, , , , 
Cyclosporine (USP), 3A, inhibitor, Not Specified, KEGG, , , , Weak
Cilostazol (JP17/USAN/INN), 3A, inhibitor, Not Specified, KEGG, , , , Weak
Cimetidine (JP17/USP/INN), 3A, inhibitor, Not Specified, KEGG, , , , Weak
Cimetidine hydrochloride (USP), 3A, inhibitor, Not Specified, KEGG, , , , Weak
Ciprofloxacin (JP17/USP/INN), 3A, inhibitor, Not Specified, KEGG, , , , Moderate
Ciprofloxacin hydrochloride (USP), 3A, inhibitor, Not Specified, KEGG, , , , Moderate
Ciprofloxacin lactate, 3A, inhibitor, Not Specified, KEGG, , , , Moderate
Clarithromycin (JP17/USP/INN), 3A, inhibitor, Not Specified, KEGG, , , , Strong
Clarithromycin lactobionate, 3A, inhibitor, Not Specified, KEGG, , , , Strong
Clotrimazole (JP17/USP/INN), 3A, inhibitor, Not Specified, KEGG, , , , 
Crizotinib (JAN/USAN/INN), 3A, inhibitor, Not Specified, KEGG, , , , 
Conivaptan (INN), 3A, inhibitor, Not Specified, KEGG, , , , Strong
Conivaptan hydrochloride (JAN/USAN), 3A, inhibitor, Not Specified, KEGG, , , , Strong
Cobicistat (JAN/USAN/INN), 3A, inhibitor, Not Specified, KEGG, , , , 
Chlorzoxazone (JAN/USP/INN), 3A, inhibitor, Not Specified, KEGG, , , , 
Dihydroergotamine (INN), 3A, inhibitor, Not Specified, KEGG, , , , 
Dihydroergotamine mesylate (USP), 3A, inhibitor, Not Specified, KEGG, , , , 
Dihydroergotamine tartrate, 3A, inhibitor, Not Specified, KEGG, , , , 
Diltiazem (INN), 3A, inhibitor, Not Specified, KEGG, , , , Moderate
Diltiazem hydrochloride (JP17/USP), 3A, inhibitor, Not Specified, KEGG, , , , Moderate
Diltiazem malate (USAN), 3A, inhibitor, Not Specified, KEGG, , , , Moderate
Dronedarone (INN), 3A, inhibitor, Not Specified, KEGG, , , , 
Dronedarone hydrochloride (USAN), 3A, inhibitor, Not Specified, KEGG, , , , 
Ergotamine (INN), 3A, inhibitor, Not Specified, KEGG, , , , 
Erythromycin (JP17/USP/INN), 3A, inhibitor, Not Specified, KEGG, , , , Moderate
Erythromycin estolate (USP), 3A, inhibitor, Not Specified, KEGG, , , , Moderate
Erythromycin ethylsuccinate (JP17/USP), 3A, inhibitor, Not Specified, KEGG, , , , Moderate
Erythromycin lactobionate (JP17/USP), 3A, inhibitor, Not Specified, KEGG, , , , Moderate
Erythromycin stearate (JP17/USP), 3A, inhibitor, Not Specified, KEGG, , , , Moderate
Erythromycin acistrate (USAN), 3A, inhibitor, Not Specified, KEGG, , , , Moderate
Erythromycin gluceptate (USP), 3A, inhibitor, Not Specified, KEGG, , , , Moderate
Erythromycin propionate (USAN), 3A, inhibitor, Not Specified, KEGG, , , , Moderate
Erythromycin salnacedin (USAN), 3A, inhibitor, Not Specified, KEGG, , , , Moderate
Erythromycin thiocyanate, 3A, inhibitor, Not Specified, KEGG, , , , Moderate
Erythromycin stinoprate (INN), 3A, inhibitor, Not Specified, KEGG, , , , Moderate
Everolimus (JAN/USAN/INN), 3A, inhibitor, Not Specified, KEGG, , , , 
Fluconazole (JP17/USAN/INN), 3A, inhibitor, Not Specified, KEGG, , , , Moderate
Fosfluconazole (JAN/INN), 3A, inhibitor, Not Specified, KEGG, , , , Moderate
Fluoxetine (USAN/INN), 3A, inhibitor, Not Specified, KEGG, , , , Weak
Fluoxetine hydrochloride (JAN/USP), 3A, inhibitor, Not Specified, KEGG, , , , Weak
Fluvoxamine (INN), 3A, inhibitor, Not Specified, KEGG, , , , Weak
Fluvoxamine maleate (JP17/USAN), 3A, inhibitor, Not Specified, KEGG, , , , Weak
Fosamprenavir (INN), 3A, inhibitor, Not Specified, KEGG, , , , Moderate
Fosamprenavir calcium hydrate (JAN), 3A, inhibitor, Not Specified, KEGG, , , , Moderate
Fosamprenavir calcium (USAN), 3A, inhibitor, Not Specified, KEGG, , , , Moderate
Fosamprenavir sodium (USAN), 3A, inhibitor, Not Specified, KEGG, , , , Moderate
Fosaprepitant dimeglumine (USAN), 3A, inhibitor, Not Specified, KEGG, , , , 
Gemfibrozil (JAN/USP/INN), 3A, inhibitor, Not Specified, KEGG, , , , 
Goldenseal, 3A, inhibitor, Not Specified, KEGG, , , , Weak
Grapefruit juice, 3A, inhibitor, Not Specified, KEGG, , , , Strong
Imatinib (INN), 3A, inhibitor, Not Specified, KEGG, , , , Moderate
Imatinib mesylate (USAN), 3A, inhibitor, Not Specified, KEGG, , , , Moderate
Indinavir (USAN), 3A, inhibitor, Not Specified, KEGG, , , , Strong
Indinavir sulfate (USAN), 3A, inhibitor, Not Specified, KEGG, , , , Strong
Indinavir sulfate ethanolate (JAN), 3A, inhibitor, Not Specified, KEGG, , , , Strong
Isoniazid (JP17/USP/INN), 3A, inhibitor, Not Specified, KEGG, , , , Weak
Isoniazid calcium pyruvinate (JAN), 3A, inhibitor, Not Specified, KEGG, , , , Weak
Isoniazid sodium methanesulfonate hydrate (JAN), 3A, inhibitor, Not Specified, KEGG, , , , Weak
Isoniazid glucuronate sodium (JAN), 3A, inhibitor, Not Specified, KEGG, , , , Weak
Istradefylline (JAN/USAN/INN), 3A, inhibitor, Not Specified, KEGG, , , , 
Itraconazole (JP17/USAN), 3A, inhibitor, Not Specified, KEGG, , , , Strong
Ivacaftor (USAN/INN), 3A, inhibitor, Not Specified, KEGG, , , , 
Ketoconazole (JP17/USP), 3A, inhibitor, Not Specified, KEGG, , , , Strong
Lacidipine (USAN/INN), 3A, inhibitor, Not Specified, KEGG, , , , 
Lapatinib (INN), 3A, inhibitor, Not Specified, KEGG, , , , 
Lapatinib ditosylate (USAN), 3A, inhibitor, Not Specified, KEGG, , , , 
Linagliptin (JAN/USAN/INN), 3A, inhibitor, Not Specified, KEGG, , , , 
Lopinavir mixture with ritonavir, 3A, inhibitor, Not Specified, KEGG, , , , Strong
Lurasidone hydrochloride (JAN/USAN), 3A, inhibitor, Not Specified, KEGG, , , , 
Maraviroc (JAN/INN), 3A, inhibitor, Not Specified, KEGG, , , , 
Mibefradil (INN), 3A, inhibitor, Not Specified, KEGG, , , , Strong
Mibefradil dihydrochloride (USAN), 3A, inhibitor, Not Specified, KEGG, , , , Strong
Miconazole (JP17/USP/INN), 3A, inhibitor, Not Specified, KEGG, , , , 
Miconazole nitrate (JP17/USP), 3A, inhibitor, Not Specified, KEGG, , , , 
Nefazodone hydrochloride (USAN), 3A, inhibitor, Not Specified, KEGG, , , , Strong
Nelfinavir (INN), 3A, inhibitor, Not Specified, KEGG, , , , Strong
Nelfinavir mesylate (USAN/INN), 3A, inhibitor, Not Specified, KEGG, , , , Strong
Nilotinib (USAN/INN), 3A, inhibitor, Not Specified, KEGG, , , , Weak
Nilotinib hydrochloride hydrate (JAN), 3A, inhibitor, Not Specified, KEGG, , , , Weak
Pazopanib hydrochloride (JAN/USAN), 3A, inhibitor, Not Specified, KEGG, , , , 
Posaconazole (JAN/USAN/INN), 3A, inhibitor, Not Specified, KEGG, , , , Strong
Propiverine (INN), 3A, inhibitor, Not Specified, KEGG, , , , 
Propiverine hydrochloride (JP17), 3A, inhibitor, Not Specified, KEGG, , , , 
Ranitidine (USAN/INN), 3A, inhibitor, Not Specified, KEGG, , , , 
Ranitidine hydrochloride (JP17/USP), 3A, inhibitor, Not Specified, KEGG, , , , 
Ranolazine (USAN/INN), 3A, inhibitor, Not Specified, KEGG, , , , Weak
Ranolazine hydrochloride (USAN), 3A, inhibitor, Not Specified, KEGG, , , , Weak
Ritonavir (JAN/USAN/INN), 3A, inhibitor, Not Specified, KEGG, , , , Strong
Roxithromycin (JP17/USAN/INN), 3A, inhibitor, Not Specified, KEGG, , , , 
Saquinavir (JAN/USP/INN), 3A, inhibitor, Not Specified, KEGG, , , , Strong
Saquinavir mesylate (USP), 3A, inhibitor, Not Specified, KEGG, , , , Strong
Tacrolimus (INN), 3A, inhibitor, Not Specified, KEGG, , , , 
Tacrolimus (USAN/INN), 3A, inhibitor, Not Specified, KEGG, , , , 
Nefazodone (INN), 3A, inhibitor, Not Specified, KEGG, , , , Strong
Telaprevir (JAN/USAN/INN), 3A, inhibitor, Not Specified, KEGG, , , , Strong
Telithromycin (JAN/USAN/INN), 3A, inhibitor, Not Specified, KEGG, , , , Strong
Ticagrelor (USAN/INN), 3A, inhibitor, Not Specified, KEGG, , , , 
Troleandomycin (USP/INN), 3A, inhibitor, Not Specified, KEGG, , , , 
Tofisopam (JP17/INN), 3A, inhibitor, Not Specified, KEGG, , , , 
Tolvaptan (JAN/USAN/INN), 3A, inhibitor, Not Specified, KEGG, , , , 
Valsartan (JP17/USAN/INN), 3A, inhibitor, Not Specified, KEGG, , , , 
Verapamil (USAN/INN), 3A, inhibitor, Not Specified, KEGG, , , , Moderate
Verapamil hydrochloride (JP17/USP), 3A, inhibitor, Not Specified, KEGG, , , , Moderate
Voriconazole (JP17/USAN/INN), 3A, inhibitor, Not Specified, KEGG, , , , Strong
Zileuton (USP/INN), 3A, inhibitor, Not Specified, KEGG, , , , Weak
Liarozole fumarate (USAN),17, inhibitor, Not Specified, KEGG, , , , 
Liarozole hydrochloride (USAN),17, inhibitor, Not Specified, KEGG, , , , 
Armodafinil (USAN/INN), 1A2, inducer, Not Specified, KEGG, , , , 
Dexlansoprazole (INN/USAN), 1A2, inducer, Not Specified, KEGG, , , , 
Esomeprazole (INN), 1A2, inducer, Not Specified, KEGG, , , , 
Esomeprazole magnesium (USAN), 1A2, inducer, Not Specified, KEGG, , , , 
Esomeprazole sodium (USAN), 1A2, inducer, Not Specified, KEGG, , , , 
Esomeprazole potassium (USAN), 1A2, inducer, Not Specified, KEGG, , , , 
Esomeprazole strontium (USAN), 1A2, inducer, Not Specified, KEGG, , , , 
Insulin (JAN/USP), 1A2, inducer, Not Specified, KEGG, , , , 
"Insulin human isophane (USP)""", 1A2, inducer, Not Specified, KEGG, , , , 
Insulin human zinc (USP), 1A2, inducer, Not Specified, KEGG, , , , 
"Insulin human zinc extended (USP)""", 1A2, inducer, Not Specified, KEGG, , , , 
"Insulin isophane (USP)""", 1A2, inducer, Not Specified, KEGG, , , , 
"Insulin zinc extended (USP)""", 1A2, inducer, Not Specified, KEGG, , , , 
"Insulin zinc prompt (USP)""", 1A2, inducer, Not Specified, KEGG, , , , 
Insulin zinc (USP), 1A2, inducer, Not Specified, KEGG, , , , 
Proinsulin human (USAN), 1A2, inducer, Not Specified, KEGG, , , , 
"Insulin injection biphasic isophane (BAN)""", 1A2, inducer, Not Specified, KEGG, , , , 
Insulin human (USP/INN), 1A2, inducer, Not Specified, KEGG, , , , 
"Insulin neutral (USAN)""", 1A2, inducer, Not Specified, KEGG, , , , 
Insulin lispro (USP/INN), 1A2, inducer, Not Specified, KEGG, , , , 
Insulin aspart (USAN/INN), 1A2, inducer, Not Specified, KEGG, , , , 
Insulin glulisine (USAN/INN), 1A2, inducer, Not Specified, KEGG, , , , 
Insulin glargine (USAN/INN), 1A2, inducer, Not Specified, KEGG, , , , 
Insulin detemir (USAN/INN), 1A2, inducer, Not Specified, KEGG, , , , 
Lansoprazole (JP17/USP/INN), 1A2, inducer, Not Specified, KEGG, , , , 
Modafinil (JAN/USAN/INN), 1A2, inducer, Not Specified, KEGG, , , , 
Montelukast (INN), 1A2, inducer, Not Specified, KEGG, , , , Moderate
Montelukast sodium (JP17/USAN), 1A2, inducer, Not Specified, KEGG, , , , Moderate
Moricizine (USAN), 1A2, inducer, Not Specified, KEGG, , , , Weak
Moricizine hydrochloride (USP), 1A2, inducer, Not Specified, KEGG, , , , Weak
Nafcillin (INN), 1A2, inducer, Not Specified, KEGG, , , , 
Nafcillin sodium (USP), 1A2, inducer, Not Specified, KEGG, , , , 
Omeprazole (JP17/USP/INN), 1A2, inducer, Not Specified, KEGG, , , , Weak
Omeprazole sodium (USAN), 1A2, inducer, Not Specified, KEGG, , , , Weak
Omeprazole magnesium (USAN), 1A2, inducer, Not Specified, KEGG, , , , Weak
Omeprazole sodium injection (JAN), 1A2, inducer, Not Specified, KEGG, , , , Weak
Phenobarbital (JP17/USP/INN), 1A2, inducer, Not Specified, KEGG, , , , Weak
Phenobarbital sodium (JAN/USP/INN), 1A2, inducer, Not Specified, KEGG, , , , Weak
Phenobarbital diethylamine, 1A2, inducer, Not Specified, KEGG, , , , Weak
Phenytoin (JP17/USP/INN), 1A2, inducer, Not Specified, KEGG, , , , Moderate
Phenytoin sodium (USP), 1A2, inducer, Not Specified, KEGG, , , , Moderate
Zileuton (USP/INN), 1A2, inducer, Not Specified, KEGG, , , , 
Efavirenz (JAN/INN), 2B6, inducer, Not Specified, KEGG, , , , Moderate
Fosphenytoin (INN), 2B6, inducer, Not Specified, KEGG, , , , 
Fosphenytoin sodium (USP), 2B6, inducer, Not Specified, KEGG, , , , 
Fosphenytoin sodium hydrate (JAN), 2B6, inducer, Not Specified, KEGG, , , , 
Nevirapine (JAN/USP/INN), 2B6, inducer, Not Specified, KEGG, , , , Weak
Phenobarbital (JP17/USP/INN), 2B6, inducer, Not Specified, KEGG, , , , 
Phenobarbital sodium (JAN/USP/INN), 2B6, inducer, Not Specified, KEGG, , , , 
Phenobarbital diethylamine, 2B6, inducer, Not Specified, KEGG, , , , 
Rifampin (USP), 2B6, inducer, Not Specified, KEGG, , , , Moderate
Rifampicin sodium, 2B6, inducer, Not Specified, KEGG, , , , Moderate
Rifampin (USP), 2C8, inducer, Not Specified, KEGG, , , , Moderate
Rifampicin sodium, 2C8, inducer, Not Specified, KEGG, , , , Moderate
