Name,Name,Actions,Species,Database
Propranolol, 1A2,"substrate, inhibitor",Not Specified,DrugBank
Atropine, 1A2,inhibitor,Not Specified,DrugBank
Clonidine, 1A2,substrate,Not Specified,DrugBank
Diclofenac, 1A2,"substrate, inhibitor",Not Specified,DrugBank
Cisapride, 1A2,substrate,Not Specified,DrugBank
Sulindac, 1A2,inhibitor,Not Specified,DrugBank
Nafcillin, 1A2,inducer,Not Specified,DrugBank
Rifabutin, 1A2,substrate,Not Specified,DrugBank
Imatinib, 1A2,substrate,Not Specified,DrugBank
Fluphenazine, 1A2,inhibitor,Not Specified,DrugBank
Efavirenz, 1A2,inhibitor,Not Specified,DrugBank
Guanabenz, 1A2,substrate,Not Specified,DrugBank
Dexmedetomidine, 1A2,inhibitor,Not Specified,DrugBank
Estrone, 1A2,substrate,Not Specified,DrugBank
Verapamil, 1A2,substrate,Not Specified,DrugBank
Epinephrine, 1A2,inhibitor,Not Specified,DrugBank
Aprepitant, 1A2,substrate,Not Specified,DrugBank
Tamoxifen, 1A2,substrate,Not Specified,DrugBank
Losartan, 1A2,inhibitor,Not Specified,DrugBank
Thioridazine, 1A2,"substrate, inhibitor",Not Specified,DrugBank
Warfarin, 1A2,substrate,Not Specified,DrugBank
Daunorubicin, 1A2,substrate,Not Specified,DrugBank
Ergotamine, 1A2,substrate,Not Specified,DrugBank
Tizanidine, 1A2,substrate,Not Specified,DrugBank
Delavirdine, 1A2,inhibitor,Not Specified,DrugBank
Imiquimod, 1A2,substrate,Not Specified,DrugBank
Thiabendazole, 1A2,"substrate, inhibitor",Not Specified,DrugBank
Meclizine, 1A2,inhibitor,Not Specified,DrugBank
Pentamidine, 1A2,substrate,Not Specified,DrugBank
Riluzole, 1A2,substrate,Not Specified,DrugBank
Zileuton, 1A2,"substrate, inhibitor",Not Specified,DrugBank
Modafinil, 1A2,"inhibitor,inducer",Not Specified,DrugBank
Tranylcypromine, 1A2,inhibitor,Not Specified,DrugBank
Clopidogrel, 1A2,substrate,Not Specified,DrugBank
Methimazole, 1A2,inhibitor,Not Specified,DrugBank
Malathion, 1A2,substrate,Not Specified,DrugBank
Etoposide, 1A2,substrate,Not Specified,DrugBank
Roxithromycin, 1A2,inhibitor,Not Specified,DrugBank
Estradiol, 1A2,substrate,Not Specified,DrugBank
Naproxen, 1A2,substrate,Not Specified,DrugBank
Primidone, 1A2,inducer,Not Specified,DrugBank
Pentoxifylline, 1A2,substrate,Not Specified,DrugBank
Propofol, 1A2,"substrate, inhibitor",Not Specified,DrugBank
Diazepam, 1A2,"substrate, inhibitor",Not Specified,DrugBank
Trifluoperazine, 1A2,substrate,Not Specified,DrugBank
Perphenazine, 1A2,"substrate, inhibitor",Not Specified,DrugBank
Dacarbazine, 1A2,substrate,Not Specified,DrugBank
Terbinafine, 1A2,substrate,Not Specified,DrugBank
Ranitidine, 1A2,"substrate, inhibitor",Not Specified,DrugBank
Clomifene, 1A2,inhibitor,Not Specified,DrugBank
Ethanol, 1A2,substrate,Not Specified,DrugBank
Ondansetron, 1A2,"substrate, inhibitor",Not Specified,DrugBank
Quinidine, 1A2,inhibitor,Not Specified,DrugBank
Dinoprostone, 1A2,substrate,Not Specified,DrugBank
Almotriptan, 1A2,substrate,Not Specified,DrugBank
Buprenorphine, 1A2,inhibitor,Not Specified,DrugBank
Cyclobenzaprine, 1A2,substrate,Not Specified,DrugBank
Maprotiline, 1A2,substrate,Not Specified,DrugBank
Isoniazid, 1A2,inhibitor,Not Specified,DrugBank
Isoniazid, 1A2,,Not Specified,DrugBank
Rizatriptan, 1A2,substrate,Not Specified,DrugBank
Desloratadine, 1A2,inhibitor,Not Specified,DrugBank
Alosetron, 1A2,substrate,Not Specified,DrugBank
Azelastine, 1A2,substrate,Not Specified,DrugBank
Edetic Acid, 1A2,inhibitor,Not Specified,DrugBank
Telithromycin, 1A2,substrate,Not Specified,DrugBank
Lomefloxacin, 1A2,"substrate, inhibitor",Not Specified,DrugBank
Ramelteon, 1A2,substrate,Not Specified,DrugBank
Dopamine, 1A2,inhibitor,Not Specified,DrugBank
Frovatriptan, 1A2,substrate,Not Specified,DrugBank
Levobupivacaine, 1A2,substrate,Not Specified,DrugBank
Tioconazole, 1A2,inhibitor,Not Specified,DrugBank
Cinacalcet, 1A2,substrate,Not Specified,DrugBank
Clobetasol propionate, 1A2,inhibitor,Not Specified,DrugBank
Ketoconazole, 1A2,inhibitor,Not Specified,DrugBank
Methoxyflurane, 1A2,substrate,Not Specified,DrugBank
Irbesartan, 1A2,inhibitor,Not Specified,DrugBank
Selegiline, 1A2,"substrate, inhibitor",Not Specified,DrugBank
Thalidomide, 1A2,substrate,Not Specified,DrugBank
Rifampicin, 1A2,inducer,Not Specified,DrugBank
Tocainide, 1A2,inhibitor,Not Specified,DrugBank
Praziquantel, 1A2,substrate,Not Specified,DrugBank
Norfloxacin, 1A2,inhibitor,Not Specified,DrugBank
Melatonin, 1A2,"substrate, inhibitor",Not Specified,DrugBank
Diphenhydramine, 1A2,substrate,Not Specified,DrugBank
Tegaserod, 1A2,inhibitor,Not Specified,DrugBank
Primaquine, 1A2,"substrate, inhibitor, inducer",Not Specified,DrugBank
Hesperetin, 1A2,substrate,Not Specified,DrugBank
Fluvastatin, 1A2,inhibitor,Not Specified,DrugBank
Leflunomide, 1A2,substrate,Not Specified,DrugBank
Pimozide, 1A2,substrate,Not Specified,DrugBank
Sertraline, 1A2,substrate,Not Specified,DrugBank
Miconazole, 1A2,inhibitor,Not Specified,DrugBank
Nifedipine, 1A2,"substrate, inhibitor",Not Specified,DrugBank
Amiodarone, 1A2,"substrate, inhibitor",Not Specified,DrugBank
Rabeprazole, 1A2,inducer,Not Specified,DrugBank
Proguanil, 1A2,substrate,Not Specified,DrugBank
Carvedilol, 1A2,substrate,Not Specified,DrugBank
Levofloxacin, 1A2,inhibitor,Not Specified,DrugBank
Doxepin, 1A2,substrate,Not Specified,DrugBank
Desipramine, 1A2,substrate,Not Specified,DrugBank
Bupropion, 1A2,substrate,Not Specified,DrugBank
Ofloxacin, 1A2,inhibitor,Not Specified,DrugBank
Cilostazol, 1A2,substrate,Not Specified,DrugBank
Moclobemide, 1A2,inhibitor,Not Specified,DrugBank
Phenobarbital, 1A2,inducer,Not Specified,DrugBank
Propafenone, 1A2,"substrate, inhibitor",Not Specified,DrugBank
Domperidone, 1A2,substrate,Not Specified,DrugBank
Dexfenfluramine, 1A2,"substrate, inhibitor",Not Specified,DrugBank
Bromocriptine, 1A2,inhibitor,Not Specified,DrugBank
Clarithromycin, 1A2,inhibitor,Not Specified,DrugBank
Anastrozole, 1A2,inhibitor,Not Specified,DrugBank
Aminophylline, 1A2,substrate,Not Specified,DrugBank
Gemfibrozil, 1A2,inhibitor,Not Specified,DrugBank
Clomipramine, 1A2,substrate,Not Specified,DrugBank
Dasatinib, 1A2,substrate,Not Specified,DrugBank
Lumiracoxib, 1A2,substrate,Not Specified,DrugBank
Oxtriphylline, 1A2,substrate,Not Specified,DrugBank
Insulin Aspart, 1A2,inducer,Not Specified,DrugBank
Insulin Detemir, 1A2,inducer,Not Specified,DrugBank
Insulin Glulisine, 1A2,inducer,Not Specified,DrugBank
Hexobarbital, 1A2,substrate,Not Specified,DrugBank
Rasagiline, 1A2,substrate,Not Specified,DrugBank
Mibefradil, 1A2,inhibitor,Not Specified,DrugBank
Methotrimeprazine, 1A2,inhibitor,Not Specified,DrugBank
Temafloxacin, 1A2,"substrate, inhibitor",Not Specified,DrugBank
Clenbuterol, 1A2,substrate,Not Specified,DrugBank
Theobromine, 1A2,substrate,Not Specified,DrugBank
Acenocoumarol, 1A2,substrate,Not Specified,DrugBank
Aminophenazone, 1A2,substrate,Not Specified,DrugBank
Antipyrine, 1A2,substrate,Not Specified,DrugBank
Flunitrazepam, 1A2,substrate,Not Specified,DrugBank
Bromazepam, 1A2,substrate,Not Specified,DrugBank
Lopinavir, 1A2,inhibitor,Not Specified,DrugBank
Pipotiazine, 1A2,substrate,Not Specified,DrugBank
Thiothixene, 1A2,substrate,Not Specified,DrugBank
Etoricoxib, 1A2,"substrate, inhibitor",Not Specified,DrugBank
Genistein, 1A2,substrate,Not Specified,DrugBank
Resveratrol, 1A2,"substrate, inhibitor, inducer",Not Specified,DrugBank
Phenacetin, 1A2,substrate,Not Specified,DrugBank
Estropipate, 1A2,substrate,Not Specified,DrugBank
Dantron, 1A2,inducer,Not Specified,DrugBank
Flunarizine, 1A2,substrate,Not Specified,DrugBank
Lorcaserin, 1A2,substrate,Not Specified,DrugBank
Clevidipine, 1A2,substrate,Not Specified,DrugBank
Iloperidone, 1A2,substrate,Not Specified,DrugBank
RHIIP, 1A2,inducer,Not Specified,DrugBank
Rotigotine, 1A2,"substrate, inhibitor",Not Specified,DrugBank
inhaled insulin, 1A2,inducer,Not Specified,DrugBank
HIIP, 1A2,inducer,Not Specified,DrugBank
lidocaine patch, 1A2,,Not Specified,DrugBank
GTS-21, 1A2,,Not Specified,DrugBank
Abiraterone, 1A2,inhibitor,Not Specified,DrugBank
Mianserin, 1A2,substrate,Not Specified,DrugBank
Eltrombopag, 1A2,"substrate, inhibitor",Not Specified,DrugBank
Asenapine, 1A2,substrate,Not Specified,DrugBank
Simeprevir, 1A2,inhibitor,Not Specified,DrugBank
Dapagliflozin, 1A2,substrate,Not Specified,DrugBank
Armodafinil, 1A2,inducer,Not Specified,DrugBank
Pazopanib, 1A2,substrate,Not Specified,DrugBank
Agomelatine, 1A2,inhibitor,Not Specified,DrugBank
Apixaban, 1A2,substrate,Not Specified,DrugBank
Axitinib, 1A2,substrate,Not Specified,DrugBank
Nilvadipine, 1A2,inhibitor,Not Specified,DrugBank
beta-Naphthoflavone, 1A2,inducer,Not Specified,DrugBank
Benzyl alcohol, 1A2,substrate,Not Specified,DrugBank
Niclosamide, 1A2,inhibitor,Not Specified,DrugBank
Sulconazole, 1A2,inhibitor,Not Specified,DrugBank
2-PHENYL-4H-BENZO[H]CHROMEN-4-ONE, 1A2,,Not Specified,DrugBank
Rilpivirine, 1A2,inducer,Not Specified,DrugBank
Vemurafenib, 1A2,inhibitor,Not Specified,DrugBank
Pomalidomide, 1A2,substrate,Not Specified,DrugBank
,,,Not Specified,DrugBank
Name, 2C8,Actions,Not Specified,DrugBank
Lumacaftor, 2C8,"inhibitor, inducer",Not Specified,DrugBank
Olodaterol, 2C8,substrate,Not Specified,DrugBank
Idelalisib, 2C8,inhibitor,Not Specified,DrugBank
Levomilnacipran, 2C8,substrate,Not Specified,DrugBank
Dabrafenib, 2C8,substrate,Not Specified,DrugBank
Trametinib, 2C8,inhibitor,Not Specified,DrugBank
Ponatinib, 2C8,"substrate, inhibitor",Not Specified,DrugBank
Enzalutamide, 2C8,"substrate, inhibitor",Not Specified,DrugBank
Regorafenib, 2C8,inhibitor,Not Specified,DrugBank
Pitavastatin, 2C8,substrate,Not Specified,DrugBank
Vismodegib, 2C8,inhibitor,Not Specified,DrugBank
"(5R)-5-(4-{[(2R)-6-HYDROXY-2,5,7,8-TETRAMETHYL-3,4-DIHYDRO-2H-CHROMEN-2-YL]METHOXY}BENZYL)-1,3-THIAZOLIDINE-2,4-DIONE", 2C8,,Not Specified,DrugBank
Cabazitaxel, 2C8,substrate,Not Specified,DrugBank
Benzyl alcohol, 2C8,substrate,Not Specified,DrugBank
Ketobemidone, 2C8,substrate,Not Specified,DrugBank
Sulfaphenazole, 2C8,inhibitor,Not Specified,DrugBank
Nilvadipine, 2C8,inhibitor,Not Specified,DrugBank
Apixaban, 2C8,substrate,Not Specified,DrugBank
Pazopanib, 2C8,substrate,Not Specified,DrugBank
Eltrombopag, 2C8,"substrate, inhibitor",Not Specified,DrugBank
Abiraterone, 2C8,inhibitor,Not Specified,DrugBank
Beraprost, 2C8,substrate,Not Specified,DrugBank
Nilotinib, 2C8,inhibitor,Not Specified,DrugBank
Licofelone, 2C8,"substrate, inhibitor",Not Specified,DrugBank
Quercetin, 2C8,inhibitor,Not Specified,DrugBank
Palmitic Acid, 2C8,,Not Specified,DrugBank
Rutin, 2C8,inhibitor,Not Specified,DrugBank
Liotrix, 2C8,inhibitor,Not Specified,DrugBank
Antipyrine, 2C8,substrate,Not Specified,DrugBank
Aminophenazone, 2C8,substrate,Not Specified,DrugBank
Colchicine, 2C8,"inhibitor, inducer",Not Specified,DrugBank
Bezafibrate, 2C8,inhibitor,Not Specified,DrugBank
Troleandomycin, 2C8,inhibitor,Not Specified,DrugBank
Fosphenytoin, 2C8,"substrate, inducer",Not Specified,DrugBank
Sitagliptin, 2C8,substrate,Not Specified,DrugBank
Lapatinib, 2C8,substrate,Not Specified,DrugBank
Gemfibrozil, 2C8,"inhibitor, inducer",Not Specified,DrugBank
Dexamethasone, 2C8,inducer,Not Specified,DrugBank
Saquinavir, 2C8,inhibitor,Not Specified,DrugBank
Paclitaxel, 2C8,substrate,Not Specified,DrugBank
Ketamine, 2C8,substrate,Not Specified,DrugBank
Halofantrine, 2C8,substrate,Not Specified,DrugBank
Rifapentine, 2C8,inducer,Not Specified,DrugBank
Zopiclone, 2C8,substrate,Not Specified,DrugBank
Domperidone, 2C8,substrate,Not Specified,DrugBank
Naloxone, 2C8,substrate,Not Specified,DrugBank
Propafenone, 2C8,inhibitor,Not Specified,DrugBank
Ifosfamide, 2C8,"substrate, inducer",Not Specified,DrugBank
Phenobarbital, 2C8,inducer,Not Specified,DrugBank
Bupropion, 2C8,substrate,Not Specified,DrugBank
Sulfinpyrazone, 2C8,substrate,Not Specified,DrugBank
Pioglitazone, 2C8,"substrate, inhibitor",Not Specified,DrugBank
Tolbutamide, 2C8,"substrate, inhibitor",Not Specified,DrugBank
Amiodarone, 2C8,substrate,Not Specified,DrugBank
Nifedipine, 2C8,inhibitor,Not Specified,DrugBank
Fluvastatin, 2C8,"substrate, inhibitor",Not Specified,DrugBank
Tegaserod, 2C8,inhibitor,Not Specified,DrugBank
Atorvastatin, 2C8,"substrate, inhibitor",Not Specified,DrugBank
Oxybutynin, 2C8,inhibitor,Not Specified,DrugBank
Ibuprofen, 2C8,substrate,Not Specified,DrugBank
Rifampicin, 2C8,"substrate, inhibitor, inducer",Not Specified,DrugBank
Fenofibrate, 2C8,inhibitor,Not Specified,DrugBank
Selegiline, 2C8,substrate,Not Specified,DrugBank
Probenecid, 2C8,inducer,Not Specified,DrugBank
Irbesartan, 2C8,"substrate, inhibitor",Not Specified,DrugBank
Ketoconazole, 2C8,inhibitor,Not Specified,DrugBank
Felodipine, 2C8,inhibitor,Not Specified,DrugBank
Sulfamethoxazole, 2C8,inhibitor,Not Specified,DrugBank
Ketoprofen, 2C8,inhibitor,Not Specified,DrugBank
Tioconazole, 2C8,inhibitor,Not Specified,DrugBank
Ethinyl Estradiol, 2C8,inhibitor,Not Specified,DrugBank
Azelastine, 2C8,substrate,Not Specified,DrugBank
Isoniazid, 2C8,inhibitor,Not Specified,DrugBank
Isoniazid, 2C8,,Not Specified,DrugBank
Phenprocoumon, 2C8,substrate,Not Specified,DrugBank
Acetylsalicylic acid, 2C8,substrate,Not Specified,DrugBank
Salmeterol, 2C8,inhibitor,Not Specified,DrugBank
Buprenorphine, 2C8,substrate,Not Specified,DrugBank
Almotriptan, 2C8,substrate,Not Specified,DrugBank
Metronidazole, 2C8,inhibitor,Not Specified,DrugBank
Repaglinide, 2C8,substrate,Not Specified,DrugBank
Quinidine, 2C8,substrate,Not Specified,DrugBank
Cocaine, 2C8,inhibitor,Not Specified,DrugBank
Triazolam, 2C8,inhibitor,Not Specified,DrugBank
Terbinafine, 2C8,substrate,Not Specified,DrugBank
Perphenazine, 2C8,substrate,Not Specified,DrugBank
Loperamide, 2C8,substrate,Not Specified,DrugBank
Brompheniramine, 2C8,substrate,Not Specified,DrugBank
Diazepam, 2C8,substrate,Not Specified,DrugBank
Propofol, 2C8,substrate,Not Specified,DrugBank
Meloxicam, 2C8,"substrate, inhibitor",Not Specified,DrugBank
Tazarotene, 2C8,substrate,Not Specified,DrugBank
Candesartan, 2C8,inhibitor,Not Specified,DrugBank
Primidone, 2C8,inducer,Not Specified,DrugBank
Naproxen, 2C8,substrate,Not Specified,DrugBank
Mefenamic acid, 2C8,"substrate, inhibitor",Not Specified,DrugBank
Estradiol, 2C8,substrate,Not Specified,DrugBank
Phenelzine, 2C8,inhibitor,Not Specified,DrugBank
Etoposide, 2C8,inhibitor,Not Specified,DrugBank
Mometasone, 2C8,inhibitor,Not Specified,DrugBank
Clopidogrel, 2C8,inhibitor,Not Specified,DrugBank
Tretinoin, 2C8,substrate,Not Specified,DrugBank
Carbinoxamine, 2C8,substrate,Not Specified,DrugBank
Hydrocortisone, 2C8,inducer,Not Specified,DrugBank
Pentamidine, 2C8,substrate,Not Specified,DrugBank
Paroxetine, 2C8,inhibitor,Not Specified,DrugBank
Delavirdine, 2C8,inhibitor,Not Specified,DrugBank
Amprenavir, 2C8,substrate,Not Specified,DrugBank
Mycophenolate mofetil, 2C8,substrate,Not Specified,DrugBank
Warfarin, 2C8,"substrate, inhibitor",Not Specified,DrugBank
Thioridazine, 2C8,inhibitor,Not Specified,DrugBank
Losartan, 2C8,"substrate, inhibitor",Not Specified,DrugBank
Tamoxifen, 2C8,inhibitor,Not Specified,DrugBank
Nilutamide, 2C8,inhibitor,Not Specified,DrugBank
Verapamil, 2C8,substrate,Not Specified,DrugBank
Dextropropoxyphene, 2C8,inhibitor,Not Specified,DrugBank
Simvastatin, 2C8,"substrate, inhibitor",Not Specified,DrugBank
Testosterone, 2C8,substrate,Not Specified,DrugBank
Nicardipine, 2C8,"substrate, inhibitor",Not Specified,DrugBank
Paramethadione, 2C8,substrate,Not Specified,DrugBank
Amodiaquine, 2C8,substrate,Not Specified,DrugBank
Chloroquine, 2C8,substrate,Not Specified,DrugBank
Cisapride, 2C8,substrate,Not Specified,DrugBank
Medroxyprogesterone Acetate, 2C8,inhibitor,Not Specified,DrugBank
Diclofenac, 2C8,substrate,Not Specified,DrugBank
Carbamazepine, 2C8,"substrate, inducer",Not Specified,DrugBank
Piroxicam, 2C8,"substrate, inhibitor",Not Specified,DrugBank
Zafirlukast, 2C8,"substrate, inhibitor",Not Specified,DrugBank
Fluorouracil, 2C8,substrate,Not Specified,DrugBank
Rofecoxib, 2C8,substrate,Not Specified,DrugBank
Mephenytoin, 2C8,substrate,Not Specified,DrugBank
Cyclophosphamide, 2C8,"substrate, inducer",Not Specified,DrugBank
Erlotinib, 2C8,"substrate, inhibitor",Not Specified,DrugBank
Dextromethorphan, 2C8,substrate,Not Specified,DrugBank
Ritonavir, 2C8,"inhibitor, inducer",Not Specified,DrugBank
Cimetidine, 2C8,inhibitor,Not Specified,DrugBank
Zidovudine, 2C8,substrate,Not Specified,DrugBank
Raloxifene, 2C8,inhibitor,Not Specified,DrugBank
Montelukast, 2C8,inhibitor,Not Specified,DrugBank
Quinine, 2C8,"substrate, inhibitor",Not Specified,DrugBank
Loratadine, 2C8,"substrate, inhibitor",Not Specified,DrugBank
Levothyroxine, 2C8,inhibitor,Not Specified,DrugBank
Lansoprazole, 2C8,"substrate, inhibitor",Not Specified,DrugBank
Chloramphenicol, 2C8,inhibitor,Not Specified,DrugBank
Trimethoprim, 2C8,"substrate, inhibitor",Not Specified,DrugBank
Cerivastatin, 2C8,"substrate, inhibitor",Not Specified,DrugBank
Spironolactone, 2C8,inhibitor,Not Specified,DrugBank
Secobarbital, 2C8,inducer,Not Specified,DrugBank
Rosiglitazone, 2C8,"substrate, inhibitor",Not Specified,DrugBank
Eszopiclone, 2C8,substrate,Not Specified,DrugBank
Sorafenib, 2C8,"substrate, inhibitor",Not Specified,DrugBank
Progesterone, 2C8,substrate,Not Specified,DrugBank
Amlodipine, 2C8,inhibitor,Not Specified,DrugBank
Mirtazapine, 2C8,substrate,Not Specified,DrugBank
Clozapine, 2C8,substrate,Not Specified,DrugBank
Sulfadiazine, 2C8,substrate,Not Specified,DrugBank
Trimethadione, 2C8,substrate,Not Specified,DrugBank
Diltiazem, 2C8,substrate,Not Specified,DrugBank
Terfenadine, 2C8,inhibitor,Not Specified,DrugBank
Omeprazole, 2C8,substrate,Not Specified,DrugBank
Methadone, 2C8,substrate,Not Specified,DrugBank
Amitriptyline, 2C8,"substrate, inhibitor",Not Specified,DrugBank
Acetaminophen, 2C8,substrate,Not Specified,DrugBank
Valproic Acid, 2C8,inhibitor,Not Specified,DrugBank
Morphine, 2C8,substrate,Not Specified,DrugBank
Lidocaine, 2C8,substrate,Not Specified,DrugBank
Theophylline, 2C8,substrate,Not Specified,DrugBank
Clotrimazole, 2C8,inhibitor,Not Specified,DrugBank
Diethylstilbestrol, 2C8,inhibitor,Not Specified,DrugBank
Phenytoin, 2C8,"substrate, inducer",Not Specified,DrugBank
Dapsone, 2C8,substrate,Not Specified,DrugBank
Temazepam, 2C8,substrate,Not Specified,DrugBank
Lovastatin, 2C8,inhibitor,Not Specified,DrugBank
Torasemide, 2C8,substrate,Not Specified,DrugBank
Ticlopidine, 2C8,inhibitor,Not Specified,DrugBank
Pyrimethamine, 2C8,inhibitor,Not Specified,DrugBank
Caffeine, 2C8,substrate,Not Specified,DrugBank
Troglitazone, 2C8,"substrate, inhibitor",Not Specified,DrugBank
Bortezomib, 2C8,inhibitor,Not Specified,DrugBank
Nicotine, 2C8,substrate,Not Specified,DrugBank
Pravastatin, 2C8,inhibitor,Not Specified,DrugBank
Cholecalciferol, 2C8,inhibitor,Not Specified,DrugBank
Cyclosporine, 2C8,inhibitor,Not Specified,DrugBank
,,,Not Specified,DrugBank
Name,2.00E+01,Actions,Not Specified,DrugBank
Aldesleukin,2.00E+01,inhibitor,Not Specified,DrugBank
Enfuvirtide,2.00E+01,substrate,Not Specified,DrugBank
S-Adenosylmethionine,2.00E+01,inhibitor,Not Specified,DrugBank
Folic Acid,2.00E+01,substrate,Not Specified,DrugBank
Menadione,2.00E+01,substrate,Not Specified,DrugBank
Fluvoxamine,2.00E+01,substrate,Not Specified,DrugBank
Nicotine,2.00E+01,"substrate, inhibitor",Not Specified,DrugBank
Caffeine,2.00E+01,substrate,Not Specified,DrugBank
Sildenafil,2.00E+01,"substrate, inhibitor",Not Specified,DrugBank
Ticlopidine,2.00E+01,inhibitor,Not Specified,DrugBank
Citalopram,2.00E+01,substrate,Not Specified,DrugBank
Enflurane,2.00E+01,substrate,Not Specified,DrugBank
Dapsone,2.00E+01,substrate,Not Specified,DrugBank
Diethylstilbestrol,2.00E+01,inhibitor,Not Specified,DrugBank
Clotrimazole,2.00E+01,inhibitor,Not Specified,DrugBank
Sulfanilamide,2.00E+01,inhibitor,Not Specified,DrugBank
Theophylline,2.00E+01,substrate,Not Specified,DrugBank
Acetaminophen,2.00E+01,substrate,Not Specified,DrugBank
Amitriptyline,2.00E+01,"substrate, inhibitor",Not Specified,DrugBank
Trimethadione,2.00E+01,substrate,Not Specified,DrugBank
Chlorzoxazone,2.00E+01,"substrate, inhibitor",Not Specified,DrugBank
Sulfadiazine,2.00E+01,substrate,Not Specified,DrugBank
Clozapine,2.00E+01,inhibitor,Not Specified,DrugBank
Meprobamate,2.00E+01,substrate,Not Specified,DrugBank
Mexiletine,2.00E+01,substrate,Not Specified,DrugBank
Streptozocin,2.00E+01,inducer,Not Specified,DrugBank
Imipramine,2.00E+01,inhibitor,Not Specified,DrugBank
Quinine,2.00E+01,substrate,Not Specified,DrugBank
Chlorpromazine,2.00E+01,inhibitor,Not Specified,DrugBank
Cimetidine,2.00E+01,inhibitor,Not Specified,DrugBank
Ritonavir,2.00E+01,inhibitor,Not Specified,DrugBank
Dextromethorphan,2.00E+01,substrate,Not Specified,DrugBank
Oxaliplatin,2.00E+01,substrate,Not Specified,DrugBank
Nortriptyline,2.00E+01,inhibitor,Not Specified,DrugBank
Zafirlukast,2.00E+01,inhibitor,Not Specified,DrugBank
Diclofenac,2.00E+01,inhibitor,Not Specified,DrugBank
Ethosuximide,2.00E+01,substrate,Not Specified,DrugBank
Thiopental,2.00E+01,inhibitor,Not Specified,DrugBank
Paramethadione,2.00E+01,substrate,Not Specified,DrugBank
Nicardipine,2.00E+01,substrate,Not Specified,DrugBank
Fluphenazine,2.00E+01,inhibitor,Not Specified,DrugBank
Dexmedetomidine,2.00E+01,substrate,Not Specified,DrugBank
Clofibrate,2.00E+01,inducer,Not Specified,DrugBank
Estrone,2.00E+01,substrate,Not Specified,DrugBank
Tamoxifen,2.00E+01,substrate,Not Specified,DrugBank
Thioridazine,2.00E+01,inhibitor,Not Specified,DrugBank
Midazolam,2.00E+01,inhibitor,Not Specified,DrugBank
Flurazepam,2.00E+01,inhibitor,Not Specified,DrugBank
Methazolamide,2.00E+01,inhibitor,Not Specified,DrugBank
Carbinoxamine,2.00E+01,substrate,Not Specified,DrugBank
Tranylcypromine,2.00E+01,inhibitor,Not Specified,DrugBank
Isoflurane,2.00E+01,substrate,Not Specified,DrugBank
Methimazole,2.00E+01,inhibitor,Not Specified,DrugBank
Etoposide,2.00E+01,substrate,Not Specified,DrugBank
Phenelzine,2.00E+01,inducer,Not Specified,DrugBank
Propofol,2.00E+01,"substrate, inhibitor",Not Specified,DrugBank
Disulfiram,2.00E+01,inhibitor,Not Specified,DrugBank
Diazepam,2.00E+01,inhibitor,Not Specified,DrugBank
Brompheniramine,2.00E+01,substrate,Not Specified,DrugBank
Dacarbazine,2.00E+01,substrate,Not Specified,DrugBank
Clomifene,2.00E+01,inhibitor,Not Specified,DrugBank
Isosorbide Dinitrate,2.00E+01,inhibitor,Not Specified,DrugBank
Ethanol,2.00E+01,"substrate, inhibitor, inducer",Not Specified,DrugBank
Ondansetron,2.00E+01,substrate,Not Specified,DrugBank
Quinidine,2.00E+01,substrate,Not Specified,DrugBank
Almotriptan,2.00E+01,substrate,Not Specified,DrugBank
Felbamate,2.00E+01,substrate,Not Specified,DrugBank
Isoniazid,2.00E+01,"substrate, inhibitor, inducer",Not Specified,DrugBank
Alosetron,2.00E+01,inhibitor,Not Specified,DrugBank
Azelastine,2.00E+01,inhibitor,Not Specified,DrugBank
Tioconazole,2.00E+01,inhibitor,Not Specified,DrugBank
Metyrapone,2.00E+01,inhibitor,Not Specified,DrugBank
Methoxyflurane,2.00E+01,substrate,Not Specified,DrugBank
Selegiline,2.00E+01,inhibitor,Not Specified,DrugBank
Thalidomide,2.00E+01,substrate,Not Specified,DrugBank
Rifampicin,2.00E+01,inducer,Not Specified,DrugBank
Clonazepam,2.00E+01,inhibitor,Not Specified,DrugBank
Tegaserod,2.00E+01,inhibitor,Not Specified,DrugBank
Pilocarpine,2.00E+01,substrate,Not Specified,DrugBank
Pimozide,2.00E+01,inhibitor,Not Specified,DrugBank
Miconazole,2.00E+01,inhibitor,Not Specified,DrugBank
Nifedipine,2.00E+01,inhibitor,Not Specified,DrugBank
Econazole,2.00E+01,inhibitor,Not Specified,DrugBank
Proguanil,2.00E+01,substrate,Not Specified,DrugBank
Carvedilol,2.00E+01,substrate,Not Specified,DrugBank
Desipramine,2.00E+01,inhibitor,Not Specified,DrugBank
Bupropion,2.00E+01,substrate,Not Specified,DrugBank
Halothane,2.00E+01,substrate,Not Specified,DrugBank
Itraconazole,2.00E+01,inhibitor,Not Specified,DrugBank
Orphenadrine,2.00E+01,,Not Specified,DrugBank
Phenobarbital,2.00E+01,"substrate, inducer",Not Specified,DrugBank
Dexfenfluramine,2.00E+01,inhibitor,Not Specified,DrugBank
Zopiclone,2.00E+01,substrate,Not Specified,DrugBank
Mitoxantrone,2.00E+01,substrate,Not Specified,DrugBank
Fomepizole,2.00E+01,inhibitor,Not Specified,DrugBank
Aminophylline,2.00E+01,substrate,Not Specified,DrugBank
Dexamethasone,2.00E+01,inducer,Not Specified,DrugBank
Sevoflurane,2.00E+01,substrate,Not Specified,DrugBank
